,aindex,autocovariance,autocorrelation,BLOSUM1,BLOSUM2,BLOSUM3,BLOSUM4,BLOSUM5,BLOSUM6,BLOSUM7,BLOSUM8,BLOSUM9,BLOSUM10,boman,charge,crosscovariance,PP1,PP2,PP3,F1,F2,F3,F4,F5,F6,hmoment,hydrophobicity,instaindex,KF1,KF2,KF3,KF4,KF5,KF6,KF7,KF8,KF9,KF10,lengthpep,MSWHIM1,MSWHIM2,MSWHIM3,mw,pI,ProtFP1,ProtFP2,ProtFP3,ProtFP4,ProtFP5,ProtFP6,ProtFP7,ProtFP8,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,T1,T2,T3,T4,T5,VHSE1,VHSE2,VHSE3,VHSE4,VHSE5,VHSE6,VHSE7,VHSE8,Z1,Z2,Z3,Z4,Z5,column_tiny_number,column_tiny_percentage,column_Small_number,column_Small_percentage,column_Aliphatic_number,column_Aliphatic_percentage,column_Aromatic_number,column_Aromatic_percentage,column_NonPolar_number,column_NonPolar_percentage,column_Polar_number,column_Polar_percentage,column_Charged_number,column_Charged_percentage,column_Basic_number,column_Basic_percentage,column_Acidic_number,column_Acidic_percentage
aindex,1.0,0.23283938402241175,0.18546095562695114,-0.5551529983871338,-0.559252525485243,-0.4733470411781058,-0.08196505172679865,-0.34693500726850834,0.3966079704681004,0.12981965894358313,0.22082859268369084,-0.04721214382043041,0.1340598863792491,-0.6074204071295333,-0.05838162621093008,0.15950354928049382,-0.5698303004543628,0.0008813540073381193,-0.16978408341428106,0.4349823063934092,0.513901955959848,0.26257281613045974,0.7716186991726803,0.11274020701816206,-0.06486400067385331,0.13580018304872332,0.7160421447215444,-0.29127242122721464,-0.6146475639107548,-0.15870455566946715,0.11519831296879156,-0.33823200178341717,0.008031241959012215,-0.6753968213708907,-0.039805421811066354,-0.003059225135545807,0.06714130363817714,-0.036994023356096986,-0.17142085722953582,-0.6181557526741616,0.2520569566151831,0.03499447602861147,-0.1783221315466829,0.13103742143207336,0.5287109993187536,-0.21769003566382233,-0.5742696486974371,0.40139999175170415,-0.5065887697589462,0.27128120964841657,0.2860157813139636,-0.21264290442296843,-0.20758261263030106,-0.5397499976632392,-0.13322564063756293,0.04143929377799561,-0.43168999612409814,0.34021210445772365,-0.40357303114752896,-0.0380897606782182,-0.20520224271575357,0.034853904987295126,-0.10748336203989366,0.7220907889962024,-0.07471002721564275,0.6327973655393919,-0.09376358159945479,-0.00390819209623267,-0.6427498108364003,0.0762520404654731,-0.7502367711215119,0.21470588899181675,-0.29895875527255034,-0.6831179674292732,-0.4135872114806199,-0.49094717789180853,-0.2670476115323531,0.4856991260924346,-0.2073183633035623,-0.24561042580442052,-0.19721063851296544,-0.2637471856640636,0.04134997646560297,0.9177417521107749,-0.2767055412540968,-0.36343683006524324,-0.14252380311020368,0.4182973774342553,-0.20368684924773547,-0.4107993337842946,-0.1795082828089573,-0.20816025581379852,-0.20261150465475383,-0.14453582676488422,-0.1290325729260351,-0.12293109965998678
autocovariance,0.23283938402241175,1.0,0.9655426342289828,-0.2520205446280675,-0.14321662426345158,-0.03576354392624938,-0.04745069068437181,-0.0488831607705021,-0.014127212905243658,0.10920162411133685,0.09032618134745946,0.0011295335152214341,0.06709169883175521,-0.19230314940514245,-0.07165672707712856,0.9191407692862579,-0.2521454415777454,0.04640406789563195,-0.04524303786408142,0.20213247169516488,0.09698333295355702,0.05332555701731771,0.14423335841130078,0.10294077919464385,0.015317703080655793,-0.23339730957090132,0.25218122115686065,0.15444149748147964,-0.11824363563305021,-0.04996904612336061,0.04490427088544692,-0.22371172277165574,-0.10966003902638369,-0.10117243775658377,0.04695852644959955,-0.09038323614559197,0.02781301691416644,0.10661206362478381,-0.0728203823471895,-0.14779257032705018,0.14834540659685186,0.01621731210494973,-0.07346172742576451,0.005634373329657992,0.24776209181409106,-0.10081844853929882,-0.050002738592356724,0.0655118290277373,-0.09890792770496488,0.029126180477664246,-0.0471216925433623,-0.04409913194030141,-0.042998710891402225,-0.11437597955998523,0.04215313222204705,0.06597145568584485,-0.2176865449659904,0.001009829495790772,-0.023366925667340936,-0.012237447277216264,-0.04155951540519717,-0.08469242229630546,-0.0710764826521226,0.15376680807831025,-0.01646742881401209,0.255288393281651,-0.051769743945373155,-0.0007494536616289567,-0.14427312974688955,0.04858460680746793,-0.20756374043128556,-0.0451215746801437,-0.0011327518718543285,-0.24804538285725763,-0.10806017145341106,-0.051901534220959,0.012580136920017708,0.03616494511158517,-0.07676241168923892,-0.00977651134996258,-0.08187370398706531,-0.03454848618403139,-0.015492488592122218,0.22854564629895657,-0.06979791263084771,-0.037365923769432784,-0.053395772261676355,0.25628442353645164,-0.0965145931948837,-0.25628442353645176,-0.0809002349289526,-0.12851193911309391,-0.09795649938189725,-0.07679016442759289,-0.05070587354828318,-0.09596707188063676
autocorrelation,0.18546095562695114,0.9655426342289828,1.0,-0.1996184485912988,-0.10068102009777441,-0.021322834472619043,-0.07431114191220951,-0.05221442872679706,-0.023214363669038313,0.10326722930702804,0.09353044750403164,-0.0025285484557418967,0.06961483789582022,-0.15238401914932606,-0.06251108929238129,0.8798672022437153,-0.20763996434045914,0.04876273502292754,-0.03618829620905088,0.15674258512322828,0.06468467980482352,0.049634328100766026,0.11699339922363705,0.10003547853482951,0.010282440258400631,-0.22651788156948752,0.1931749530851672,0.15702309784475216,-0.08184130636163892,-0.0323003756982909,0.027978350309372412,-0.18451023245982104,-0.09401919229405283,-0.08199130524950088,0.03954753670451247,-0.08507125340383674,-0.014518071823716658,0.1044508400969492,-0.07175976641589445,-0.11270586359592247,0.11996315544096818,0.019388478233191765,-0.0719627470791526,0.00554491779947618,0.19422968466239207,-0.0788218903529487,-0.019474823569772957,0.04487496150960486,-0.09912488618522494,0.031646740013249,-0.04351883365746629,-0.029500154095470545,-0.025293090935435393,-0.07655460312217122,0.041976913545648434,0.04245261866084524,-0.1899991451782412,-0.009117575069948649,0.002179371348628405,0.006577233553645393,-0.02311523364707864,-0.07615841002661607,-0.07477879028909841,0.11362463857019793,-0.017309893263837202,0.20916905335127145,-0.02954575382190312,0.002099644660245092,-0.09465776075834428,0.04393216223532949,-0.180327588847981,-0.023078613964092266,0.017256142716131743,-0.20569442945096775,-0.08345504790717934,-0.051219321764850605,0.027517468502538382,0.025014847330978682,-0.07647549027636583,-0.01563492680801461,-0.08216378984781594,-0.03797710306623012,-0.021163399937173248,0.1772840655586161,-0.06544199755216418,-0.02501509132057559,-0.05437938979703404,0.21763742444753748,-0.09273315377159266,-0.21763742444753842,-0.07316882790426708,-0.09313755614772659,-0.08687728384832805,-0.05417326360234568,-0.047785046777393814,-0.0719077019610716
BLOSUM1,-0.5551529983871338,-0.2520205446280675,-0.1996184485912988,1.0,0.20766796275577254,0.005677911654634197,-0.05128526898684518,0.008093365262364469,-0.015514824772944576,-0.05031758133918371,-0.10158649936778585,0.13956567139663034,0.049060071526389366,0.6816811197309829,0.032965302993634996,-0.16241563161832379,0.6562357061788964,-0.28810665759422066,0.1170347338284778,-0.8194403861057514,-0.239496964499372,-0.3386020061998449,-0.149066760022331,0.05839643597709957,-0.13305444054290708,0.09505333616946084,-0.7902855274781776,0.18280751030036502,0.24701663561098847,-0.037156555418218135,-0.318423774235043,0.7781665960190495,0.09130975825841317,0.17239380608982563,-0.14651320667702017,0.06799773418227772,-0.14335391345861317,-0.16220180939472015,0.19786911804566154,0.23061789499901297,-0.5843358505311499,-0.018440519745306257,0.20230868821108136,-0.08783660692235679,-0.9656597840760142,0.18046383559092521,0.017187776041172623,-0.07673579516228696,0.08503788896294948,-0.034902697533646644,-0.13280478123739337,0.00889057519471552,-0.07724829542459404,0.31424874189674573,-0.37945409418252757,-0.11233705334912995,0.5407473707557688,-0.16763997408607578,0.1357386012870572,0.25713584939478434,-0.06526260769958919,0.3029611533706418,0.2531562985201573,-0.2996251716302579,0.20919502885326602,-0.8889225816108677,0.07955825903970232,-0.17220883152780678,0.4384680225485084,-0.2884031741027439,0.38107643166283345,0.41073566000106343,0.20687129926466363,0.8375946039851841,0.1715767401641153,0.017263386007114554,-0.17128772386908836,0.2397310903896878,0.16329758366422267,0.030703393699346666,0.1812028761516264,0.17353167878605777,0.10111655237356418,-0.4633195799181948,0.11503595108315029,-0.23856443393878862,0.12930053935945882,-0.7234106332487862,0.2836742088610689,0.7260590541005397,0.32409571603069504,0.45391831484152434,0.31583189756081176,0.19968838920185852,0.2889434470934179,0.4515792812281536
BLOSUM2,-0.559252525485243,-0.14321662426345158,-0.10068102009777441,0.20766796275577254,1.0,-0.02023390294415916,-0.23264052000601937,0.11658012576038852,-0.08018717467790588,-0.05879931292877103,-0.0020157298742820725,-0.16680267101613666,-0.10234292664804887,0.4662980727428198,0.05958737590993736,-0.09267635886904174,0.5634061361275454,0.5459073457306045,-0.05988140765523973,-0.2226230886201951,-0.12552518105033125,0.48578406453265527,-0.5018299417967532,-0.16496479723762536,0.13039077557915496,-0.0009592846224914186,-0.6530324670892136,0.24370666895152768,0.29615575266852523,0.6696156436725453,-0.18504495146647962,0.2144770309739658,-0.014589187695947123,0.2428521917224396,-0.06859755179250694,0.18384040597981727,-0.22712022246204283,-0.029723133654213117,-0.03522215150046136,0.9426815598475511,0.04163999702462191,0.22715624946824486,-0.01470255437841703,0.06552847193744141,-0.11286567331026742,0.5889570090277505,0.4453655495305776,-0.33541857099702516,0.047022463846318446,0.06761150721577662,-0.138707888450838,-0.012211025483725711,0.7387335427371893,0.753385597563166,0.4868289290462794,-0.6928020972156885,0.27455742822961554,0.15085565997878692,0.42051509432903506,0.18136784607314205,0.7338717291880982,0.13799690756280467,-0.15764549576937936,-0.8691610466350089,-0.36944320393345276,-0.22478821409521849,0.6490790701189062,0.4977411569626862,0.6467167451233568,0.19354316283932269,0.5100648306990374,0.0549215441648629,0.060104927459718564,0.17579806460564698,0.7565005287140686,-0.03581660337628629,0.5541306920640705,-0.3061373479147126,-0.07591602814675699,-0.3783279116765578,-0.07055439338007995,-0.4346570792114944,-0.169458978559866,-0.6146889121838245,0.20771027718977794,0.8243562846456546,-0.06524489284174075,-0.3434410999854149,0.005818057221896726,0.33569018547405705,0.04960267941721367,0.4127269627715471,0.08409687559678874,0.3745362834733031,0.004167697397919829,0.10397258698244091
BLOSUM3,-0.4733470411781058,-0.03576354392624938,-0.021322834472619043,0.005677911654634197,-0.02023390294415916,1.0,0.3587227853559271,0.09835901871313342,-0.11899423948206107,0.09511908532140963,-0.016494063907548928,0.0070794074983289825,0.23052298186367215,-0.17536484700720403,-0.14805360205381513,-0.03356084822307643,-0.24353173979924253,-0.4711804176072248,0.13557601243314021,0.20718047866456862,-0.763368839671274,-0.6857465813560195,-0.35479406841271394,-0.28733592868506236,-0.31521287816204235,-0.3075641306234771,0.10113668996079749,-0.044412137156407606,0.6258682228070231,-0.5389590990711249,0.018248663208676862,-0.39144757455877743,-0.1465289524804144,0.5579948643416165,0.1264411695304803,0.2031729001914255,-0.23333075106111678,0.1105741889834668,0.1435823846820356,0.005860968322616314,-0.2556725703175517,-0.5203775131939106,0.11695700194388106,-0.25671737604752676,-0.13828582192674674,-0.6071798279347873,0.5800679025150195,-0.5187095801117956,0.48056069130972423,-0.07558650396561026,-0.02619156003260683,0.0876198148301025,-0.45755734283772476,-0.14627838205378133,-0.17759086235570035,0.5345470127037064,0.032544552111992434,-0.8456999764472002,0.07364603140221217,0.17575148147885464,-0.4636472344246329,-0.6234547343202982,0.3497217037053769,-0.049990703184036756,0.6672168387681807,0.0020890585575288763,-0.5859497659563235,-0.6255617135375349,0.33152412191511177,-0.2945193383832299,0.08539693978104104,-0.31076674365036483,-0.1094989812757196,0.2533968091265785,-0.3786917773429375,0.7701920774572617,-0.07046951096882133,-0.5021962995333427,0.2996864822443043,0.8029872802095738,0.2505713483920894,0.7545219754117751,0.029176414600212204,-0.3831181914283561,0.1526437110487689,0.013102316231913684,0.19915298164379167,0.3707644968352702,0.06340113686269964,-0.3709095311917368,-0.0684760122136641,-0.5271349472698003,-0.09781194109744834,-0.4445917879802148,-0.026232897637080876,-0.18644959510592676
BLOSUM4,-0.08196505172679865,-0.04745069068437181,-0.07431114191220951,-0.05128526898684518,-0.23264052000601937,0.3587227853559271,1.0,-0.03594962857971433,0.009593834277443246,-0.10792494089922482,-0.0020054864493076847,0.09423175584011398,0.25012521654476993,-0.1995396610003155,-0.268732543811067,-0.04791054295684483,-0.15360404032779532,-0.5941342325664585,-0.1387021473345294,0.2326146973049559,-0.3075152480029551,-0.5819267352259216,-0.1419727261926212,-0.33769397626029657,-0.2891016489446511,-0.17891157383306333,0.30493894396999977,-0.23474720094413817,0.19174344823021794,-0.5587968658921021,0.197941266002664,-0.2554723342104071,0.07330111776789773,0.37323719080497064,-0.25959114670272887,0.4095731551619013,0.4368363594641916,0.04729751802410043,0.1326798176951811,-0.07216770492108818,-0.18633867505082416,-0.5749066736429012,0.11854989044035331,-0.37999824936066673,0.0012470391450800815,-0.5458627422028839,-0.031580001775505545,-0.37594508435221075,0.5428615947740569,-0.21566528148122552,0.04979125259423477,-0.4293931683177055,-0.514563272540566,-0.2875087270866672,-0.23799042932085507,0.447291589765597,0.2447823043997941,-0.386528499690834,-0.36650994122763925,-0.11219256975087433,-0.5241160777828237,-0.3139682813545954,0.5294704115085445,0.10853482032600874,0.4873526122062979,0.012977500491055456,-0.6587282600896976,-0.537916586521687,-0.17729102461307844,-0.4947308898730505,0.10226996659043859,-0.32335742432233827,-0.23587491069356062,0.22507667240167872,-0.43453094716314977,0.5986719473858899,-0.43030492292147515,-0.22905763804040455,0.20497696780729519,0.51670598574574,0.18332317344214255,0.5290382088080748,0.09489950644981328,-0.06360486386910977,0.1661135241970623,-0.005580787899819375,0.14607815764756202,0.11004380338158994,0.11010826686494846,-0.10662178473037197,0.02119761981822281,-0.3827919705289816,-0.0295316633274418,-0.4304459739826609,0.07511678667859706,0.03557313813444069
BLOSUM5,-0.34693500726850834,-0.0488831607705021,-0.05221442872679706,0.008093365262364469,0.11658012576038852,0.09835901871313342,-0.03594962857971433,1.0,-0.17595798147996602,-0.09902711410114144,0.06951205256343337,-0.0974713853736174,-0.24350384275994938,0.4843097333084029,0.363989193788528,-0.06132558455563473,0.3614355932267678,0.3698158009152366,0.583449242443028,-0.07247285345891324,0.18834175316767934,0.01076924499890114,-0.5331720970831538,-0.4097622479014763,0.7188060190429705,0.07774589312380613,-0.2944499546916985,0.23986019295375288,-0.0018111697964446692,0.2967778168833761,0.38988984878565713,0.3447956553650325,-0.3343527971245326,0.44702378326030934,0.4696744441757936,-0.17455183367204763,0.09849383935469773,0.4130267845358221,-0.12233606717506436,0.06294764977654566,-0.04503976307201521,0.5688663527861255,-0.10957097265738829,0.26810225430590723,0.07271670213373611,0.3848241332835955,0.2683129757250438,0.16551400400876126,0.6443250478640312,0.17923231829025613,-0.16719123192116409,0.15601458049660355,0.2765635490903167,0.479232115380765,0.26738553844640633,0.17326906768213524,0.07952846652353719,0.10220652543436795,0.7039936360295009,-0.028060695499483312,0.24939883490864143,0.48789763192517244,-0.368750781752346,-0.13396106297733337,-0.13226104702464214,-0.4062982148876308,0.15207394125321547,0.33046113300838525,0.33223698980359295,0.4983874864991712,0.7040149856782189,-0.07739269906179283,-0.05125842661646548,0.4098352559916473,0.29945064120841036,-0.05963282954730616,0.4595182409608592,-0.6140084988618648,-0.08660702582884855,0.15465797214898583,-0.12829344952143035,-0.15251804349204023,-0.19315188648756929,-0.3398577284432963,-0.11074514270918107,0.02112843816369305,-0.14683304758039267,-0.2731336570798588,-0.08477134703903925,0.2774167040546809,-0.04259877521271253,0.347580613537655,0.0807149597810128,0.5354592205877639,-0.17489000348116057,-0.26208375463589006
BLOSUM6,0.3966079704681004,-0.014127212905243658,-0.023214363669038313,-0.015514824772944576,-0.08018717467790588,-0.11899423948206107,0.009593834277443246,-0.17595798147996602,1.0,0.12174448343624132,0.21620506756420557,0.19358988507962174,0.1910241148879219,-0.2248675611119386,-0.03054219392867304,-0.01514654066725597,-0.12776363050801914,-0.20624294892614728,0.07002892353200282,0.032567770139991924,0.2387022978002979,-0.008161795908168427,0.6282833678477511,-0.5887700219528287,-0.16338376287850098,0.23588769026721762,0.22065030786715978,-0.3605521588927308,-0.41289469697296266,-0.25493910597183994,-0.014737110541884379,0.12572068028427288,0.025996032966639257,-0.4406621309180849,-0.03700253224097947,0.6326173629478058,-0.5165992176974545,-0.13504149319885544,-0.004094856377575846,-0.24709760341323833,-0.2765646358410616,-0.10119568650582235,-0.01764822315925931,0.09289048640163516,-0.06670490319893842,-0.22295809250045173,-0.361160736097888,0.0934782814696743,-0.16344098052949602,0.7473498000814206,0.19873193291278235,0.10196910979502231,-0.25674146435329837,-0.16643450010025398,-0.28171559675916713,0.050227833125952706,-0.013576627093831667,-0.07310547674660527,-0.23462386301893623,0.6303116902345797,-0.27436161694767824,0.23542615711335846,0.11538043776061362,0.44673625591161564,0.415922655501364,0.0873932282120711,-0.1259793362309624,-0.2721591900193492,-0.00936163005996444,-0.08957657875961726,-0.35155754983257775,0.5310757232057274,-0.8363544507629288,-0.029916892245166412,-0.386289927999966,-0.4119079918625317,-0.31567807747979826,0.22286997926627128,0.01880835693341083,0.1278069640831691,-0.0192550730267309,-0.10344639724880414,0.09842691584983917,0.41586506231977904,-0.07902887535628673,-0.2295525972561508,-0.00917251216379236,-0.02951597215249821,0.0033957178095974706,0.037696477371244694,-0.004079788472436754,-0.048193194460275486,-0.027661385087034918,-0.0669652465244977,0.02289385993014442,0.024774645247654985
BLOSUM7,0.12981965894358313,0.10920162411133685,0.10326722930702804,-0.05031758133918371,-0.05879931292877103,0.09511908532140963,-0.10792494089922482,-0.09902711410114144,0.12174448343624132,1.0,0.24936617556983168,0.053403515577524714,-0.034537254248701695,-0.22419725085419395,0.3969920171527903,0.11075515446312528,-0.5160417525762026,0.02731907736433736,0.6037095344181616,0.12899462889865615,-0.271621276642401,-0.08812660593903338,0.3517705569853517,0.15048619110589104,0.11640631199705131,0.007267513184700344,0.16326246702113897,-0.06968510646498036,0.1457421834191271,-0.21901808043404833,0.1093336452487832,-0.14664012345343078,0.23114092985814447,-0.3021084927143024,0.3269419372404149,0.20364211241107336,-0.15545446557809173,0.19876094130820238,-0.12011217664385734,-0.21456232684696638,0.15140159708656473,0.10623327855667367,-0.1388091061527565,0.5864080235186131,-0.011701386341691277,-0.2966132522927453,0.44782473573254516,0.5178869293049201,-0.2273149522163526,0.2997547432001545,-0.14096382762804288,-0.01684466768803509,-0.2156309004659272,0.09783754927666392,0.22025727503747536,0.22265718880347338,-0.7118565803650505,-0.3953545964931669,0.12562407955456276,0.5755718683923338,-0.22311269869436806,-0.2187913766511334,-0.38301204283530454,0.22411838389385075,0.24960337246172207,0.19822653441545304,-0.19223703939553757,-0.27153072538346396,0.2738403571210685,0.47285322292285115,-0.39581110918169327,0.5043792578668822,0.0213053130666958,-0.17149939296541278,-0.2620856736052895,-0.2360197303792766,0.3624049965816885,0.2378862163281225,-0.061293204305045874,0.15981936835596774,-0.08693040855837174,0.03964185987768589,-0.08769776912485477,0.22207598021388975,-0.07111357617641403,0.0015980816946581198,-0.059116705689204636,0.44900318793871585,-0.19842620965329383,-0.44943146173440945,-0.19987149834871293,-0.18294958806143335,-0.0474128842958149,0.2407357735418707,-0.3432588538068179,-0.692422739273862
